VeiligheidsregioCode;VeiligheidsregioNaam;Datum_van_overlijden;Aantal
VR16;Hollands-Midden;2020-05-08;1
VR16;Hollands-Midden;2020-05-09;2
VR16;Hollands-Midden;2020-05-10;0
VR16;Hollands-Midden;2020-05-11;0
VR16;Hollands-Midden;2020-05-12;1
VR16;Hollands-Midden;2020-05-13;0
VR16;Hollands-Midden;2020-05-14;1
VR16;Hollands-Midden;2020-05-15;1
VR16;Hollands-Midden;2020-05-16;1
VR16;Hollands-Midden;2020-05-17;1
VR16;Hollands-Midden;2020-05-18;1
VR16;Hollands-Midden;2020-05-19;0
VR16;Hollands-Midden;2020-05-20;0
VR16;Hollands-Midden;2020-05-21;0
VR16;Hollands-Midden;2020-05-22;0
VR16;Hollands-Midden;2020-05-23;0
VR16;Hollands-Midden;2020-05-24;0
VR16;Hollands-Midden;2020-05-25;0
VR16;Hollands-Midden;2020-05-26;1
VR16;Hollands-Midden;2020-05-27;0
VR16;Hollands-Midden;2020-05-28;0
VR16;Hollands-Midden;2020-05-29;2
VR16;Hollands-Midden;2020-05-30;0
VR16;Hollands-Midden;2020-05-31;1
VR16;Hollands-Midden;2020-06-01;1
VR16;Hollands-Midden;2020-06-02;0
VR16;Hollands-Midden;2020-06-03;0
VR16;Hollands-Midden;2020-06-04;0
VR16;Hollands-Midden;2020-06-05;0
VR16;Hollands-Midden;2020-06-06;1
VR16;Hollands-Midden;2020-06-07;0
VR16;Hollands-Midden;2020-06-08;0
VR16;Hollands-Midden;2020-06-09;0
VR16;Hollands-Midden;2020-06-10;0
VR16;Hollands-Midden;2020-06-11;1
VR16;Hollands-Midden;2020-06-12;1
VR16;Hollands-Midden;2020-06-13;1
VR16;Hollands-Midden;2020-06-14;0
VR16;Hollands-Midden;2020-06-15;0
VR16;Hollands-Midden;2020-06-16;0
VR16;Hollands-Midden;2020-06-17;0
VR16;Hollands-Midden;2020-06-18;1
VR16;Hollands-Midden;2020-06-19;0
VR16;Hollands-Midden;2020-06-20;0
VR16;Hollands-Midden;2020-06-21;0
VR16;Hollands-Midden;2020-06-22;0
VR16;Hollands-Midden;2020-06-23;0
VR16;Hollands-Midden;2020-06-24;0
VR16;Hollands-Midden;2020-06-25;0
VR16;Hollands-Midden;2020-06-26;0
VR16;Hollands-Midden;2020-06-27;0
VR16;Hollands-Midden;2020-06-28;0
VR16;Hollands-Midden;2020-06-29;0
VR16;Hollands-Midden;2020-06-30;0
VR16;Hollands-Midden;2020-07-01;0
VR16;Hollands-Midden;2020-07-02;0
VR16;Hollands-Midden;2020-07-03;0
VR16;Hollands-Midden;2020-07-04;0
VR16;Hollands-Midden;2020-07-05;0
VR16;Hollands-Midden;2020-07-06;0
VR16;Hollands-Midden;2020-07-07;0
VR16;Hollands-Midden;2020-07-08;0
VR16;Hollands-Midden;2020-07-09;0
VR16;Hollands-Midden;2020-07-10;0
VR16;Hollands-Midden;2020-07-11;0
VR16;Hollands-Midden;2020-07-12;0
VR16;Hollands-Midden;2020-07-13;0
VR16;Hollands-Midden;2020-07-14;0
VR16;Hollands-Midden;2020-07-15;0
VR16;Hollands-Midden;2020-07-16;0
VR16;Hollands-Midden;2020-07-17;0
VR16;Hollands-Midden;2020-07-18;0
VR16;Hollands-Midden;2020-07-19;0
VR16;Hollands-Midden;2020-07-20;0
VR16;Hollands-Midden;2020-07-21;0
VR16;Hollands-Midden;2020-07-22;0
VR16;Hollands-Midden;2020-07-23;0
VR16;Hollands-Midden;2020-07-24;0
VR16;Hollands-Midden;2020-07-25;0
VR16;Hollands-Midden;2020-07-26;0
VR16;Hollands-Midden;2020-07-27;0
VR16;Hollands-Midden;2020-07-28;0
VR16;Hollands-Midden;2020-07-29;0
VR16;Hollands-Midden;2020-07-30;0
VR16;Hollands-Midden;2020-07-31;0
VR16;Hollands-Midden;2020-08-01;0
VR16;Hollands-Midden;2020-08-02;0
VR16;Hollands-Midden;2020-08-03;0
VR16;Hollands-Midden;2020-08-04;0
VR16;Hollands-Midden;2020-08-05;0
VR16;Hollands-Midden;2020-08-06;0
VR16;Hollands-Midden;2020-08-07;0
VR16;Hollands-Midden;2020-08-08;0
VR16;Hollands-Midden;2020-08-09;0
VR16;Hollands-Midden;2020-08-10;0
VR16;Hollands-Midden;2020-08-11;0
VR16;Hollands-Midden;2020-08-12;0
VR16;Hollands-Midden;2020-08-13;0
VR16;Hollands-Midden;2020-08-14;0
VR16;Hollands-Midden;2020-08-15;1
VR16;Hollands-Midden;2020-08-16;0
VR16;Hollands-Midden;2020-08-17;0
VR16;Hollands-Midden;2020-08-18;0
VR16;Hollands-Midden;2020-08-19;0
VR16;Hollands-Midden;2020-08-20;0
VR16;Hollands-Midden;2020-08-21;0
VR16;Hollands-Midden;2020-08-22;0
VR16;Hollands-Midden;2020-08-23;0
VR16;Hollands-Midden;2020-08-24;0
VR16;Hollands-Midden;2020-08-25;1
VR16;Hollands-Midden;2020-08-26;0
VR16;Hollands-Midden;2020-08-27;0
VR16;Hollands-Midden;2020-08-28;1
VR16;Hollands-Midden;2020-08-29;0
VR16;Hollands-Midden;2020-08-30;0
VR16;Hollands-Midden;2020-08-31;0
VR16;Hollands-Midden;2020-09-01;0
VR16;Hollands-Midden;2020-09-02;0
VR16;Hollands-Midden;2020-09-03;0
VR16;Hollands-Midden;2020-09-04;0
VR16;Hollands-Midden;2020-09-05;0
VR16;Hollands-Midden;2020-09-06;0
VR16;Hollands-Midden;2020-09-07;0
VR16;Hollands-Midden;2020-09-08;0
VR16;Hollands-Midden;2020-09-09;0
VR16;Hollands-Midden;2020-09-10;0
VR16;Hollands-Midden;2020-09-11;1
VR16;Hollands-Midden;2020-09-12;0
VR16;Hollands-Midden;2020-09-13;0
VR16;Hollands-Midden;2020-09-14;0
VR16;Hollands-Midden;2020-09-15;0
VR16;Hollands-Midden;2020-09-16;0
VR16;Hollands-Midden;2020-09-17;0
VR16;Hollands-Midden;2020-09-18;1
VR16;Hollands-Midden;2020-09-19;0
VR16;Hollands-Midden;2020-09-20;0
VR16;Hollands-Midden;2020-09-21;0
VR16;Hollands-Midden;2020-09-22;2
VR16;Hollands-Midden;2020-09-23;1
VR16;Hollands-Midden;2020-09-24;0
VR16;Hollands-Midden;2020-09-25;1
VR16;Hollands-Midden;2020-09-26;0
VR16;Hollands-Midden;2020-09-27;0
VR16;Hollands-Midden;2020-09-28;0
VR16;Hollands-Midden;2020-09-29;1
VR16;Hollands-Midden;2020-09-30;0
VR16;Hollands-Midden;2020-10-01;0
VR16;Hollands-Midden;2020-10-02;0
VR16;Hollands-Midden;2020-10-03;0
VR16;Hollands-Midden;2020-10-04;0
VR16;Hollands-Midden;2020-10-05;1
VR16;Hollands-Midden;2020-10-06;0
VR16;Hollands-Midden;2020-10-07;1
VR16;Hollands-Midden;2020-10-08;1
VR16;Hollands-Midden;2020-10-09;0
VR16;Hollands-Midden;2020-10-10;0
VR16;Hollands-Midden;2020-10-11;0
VR16;Hollands-Midden;2020-10-12;0
VR16;Hollands-Midden;2020-10-13;0
VR16;Hollands-Midden;2020-10-14;0
VR17;Rotterdam-Rijnmond;1900-01-01;0
VR17;Rotterdam-Rijnmond;2020-02-27;0
VR17;Rotterdam-Rijnmond;2020-02-28;0
VR17;Rotterdam-Rijnmond;2020-02-29;0
VR17;Rotterdam-Rijnmond;2020-03-01;0
VR17;Rotterdam-Rijnmond;2020-03-02;0
VR17;Rotterdam-Rijnmond;2020-03-03;0
VR17;Rotterdam-Rijnmond;2020-03-04;0
VR17;Rotterdam-Rijnmond;2020-03-05;0
VR17;Rotterdam-Rijnmond;2020-03-06;0
VR17;Rotterdam-Rijnmond;2020-03-07;0
VR17;Rotterdam-Rijnmond;2020-03-08;0
VR17;Rotterdam-Rijnmond;2020-03-09;0
VR17;Rotterdam-Rijnmond;2020-03-10;0
VR17;Rotterdam-Rijnmond;2020-03-11;0
VR17;Rotterdam-Rijnmond;2020-03-12;0
VR17;Rotterdam-Rijnmond;2020-03-13;0
VR17;Rotterdam-Rijnmond;2020-03-14;0
VR17;Rotterdam-Rijnmond;2020-03-15;0
VR17;Rotterdam-Rijnmond;2020-03-16;0
VR17;Rotterdam-Rijnmond;2020-03-17;0
VR17;Rotterdam-Rijnmond;2020-03-18;0
VR17;Rotterdam-Rijnmond;2020-03-19;1
VR17;Rotterdam-Rijnmond;2020-03-20;1
VR17;Rotterdam-Rijnmond;2020-03-21;1
VR17;Rotterdam-Rijnmond;2020-03-22;0
VR17;Rotterdam-Rijnmond;2020-03-23;1
VR17;Rotterdam-Rijnmond;2020-03-24;1
VR17;Rotterdam-Rijnmond;2020-03-25;4
VR17;Rotterdam-Rijnmond;2020-03-26;1
VR17;Rotterdam-Rijnmond;2020-03-27;4
VR17;Rotterdam-Rijnmond;2020-03-28;3
VR17;Rotterdam-Rijnmond;2020-03-29;3
VR17;Rotterdam-Rijnmond;2020-03-30;6
VR17;Rotterdam-Rijnmond;2020-03-31;7
VR17;Rotterdam-Rijnmond;2020-04-01;8
VR17;Rotterdam-Rijnmond;2020-04-02;3
VR17;Rotterdam-Rijnmond;2020-04-03;6
VR17;Rotterdam-Rijnmond;2020-04-04;12
VR17;Rotterdam-Rijnmond;2020-04-05;15
VR17;Rotterdam-Rijnmond;2020-04-06;10
VR17;Rotterdam-Rijnmond;2020-04-07;16
VR17;Rotterdam-Rijnmond;2020-04-08;10
VR17;Rotterdam-Rijnmond;2020-04-09;10
VR17;Rotterdam-Rijnmond;2020-04-10;10
VR17;Rotterdam-Rijnmond;2020-04-11;6
VR17;Rotterdam-Rijnmond;2020-04-12;11
VR17;Rotterdam-Rijnmond;2020-04-13;12
VR17;Rotterdam-Rijnmond;2020-04-14;14
VR17;Rotterdam-Rijnmond;2020-04-15;12
VR17;Rotterdam-Rijnmond;2020-04-16;18
VR17;Rotterdam-Rijnmond;2020-04-17;15
VR17;Rotterdam-Rijnmond;2020-04-18;9
VR17;Rotterdam-Rijnmond;2020-04-19;8
VR17;Rotterdam-Rijnmond;2020-04-20;11
VR17;Rotterdam-Rijnmond;2020-04-21;14
VR17;Rotterdam-Rijnmond;2020-04-22;6
VR17;Rotterdam-Rijnmond;2020-04-23;14
VR17;Rotterdam-Rijnmond;2020-04-24;9
VR17;Rotterdam-Rijnmond;2020-04-25;9
VR17;Rotterdam-Rijnmond;2020-04-26;8
VR17;Rotterdam-Rijnmond;2020-04-27;9
VR17;Rotterdam-Rijnmond;2020-04-28;7
VR17;Rotterdam-Rijnmond;2020-04-29;7
VR17;Rotterdam-Rijnmond;2020-04-30;5
VR17;Rotterdam-Rijnmond;2020-05-01;10
VR17;Rotterdam-Rijnmond;2020-05-02;6
VR17;Rotterdam-Rijnmond;2020-05-03;5
VR17;Rotterdam-Rijnmond;2020-05-04;6
VR17;Rotterdam-Rijnmond;2020-05-05;7
VR17;Rotterdam-Rijnmond;2020-05-06;6
VR17;Rotterdam-Rijnmond;2020-05-07;4
VR17;Rotterdam-Rijnmond;2020-05-08;4
VR17;Rotterdam-Rijnmond;2020-05-09;0
VR17;Rotterdam-Rijnmond;2020-05-10;5
VR17;Rotterdam-Rijnmond;2020-05-11;8
VR17;Rotterdam-Rijnmond;2020-05-12;2
VR17;Rotterdam-Rijnmond;2020-05-13;5
VR17;Rotterdam-Rijnmond;2020-05-14;3
VR17;Rotterdam-Rijnmond;2020-05-15;1
VR17;Rotterdam-Rijnmond;2020-05-16;2
VR17;Rotterdam-Rijnmond;2020-05-17;2
VR17;Rotterdam-Rijnmond;2020-05-18;3
VR17;Rotterdam-Rijnmond;2020-05-19;1
VR17;Rotterdam-Rijnmond;2020-05-20;2
VR17;Rotterdam-Rijnmond;2020-05-21;0
VR17;Rotterdam-Rijnmond;2020-05-22;0
VR17;Rotterdam-Rijnmond;2020-05-23;1
VR17;Rotterdam-Rijnmond;2020-05-24;0
VR17;Rotterdam-Rijnmond;2020-05-25;1
VR17;Rotterdam-Rijnmond;2020-05-26;1
VR17;Rotterdam-Rijnmond;2020-05-27;1
VR17;Rotterdam-Rijnmond;2020-05-28;0
VR17;Rotterdam-Rijnmond;2020-05-29;1
VR17;Rotterdam-Rijnmond;2020-05-30;0
VR17;Rotterdam-Rijnmond;2020-05-31;0
VR17;Rotterdam-Rijnmond;2020-06-01;1
VR17;Rotterdam-Rijnmond;2020-06-02;1
VR17;Rotterdam-Rijnmond;2020-06-03;0
VR17;Rotterdam-Rijnmond;2020-06-04;1
VR17;Rotterdam-Rijnmond;2020-06-05;1
VR17;Rotterdam-Rijnmond;2020-06-06;0
VR17;Rotterdam-Rijnmond;2020-06-07;1
VR17;Rotterdam-Rijnmond;2020-06-08;0
VR17;Rotterdam-Rijnmond;2020-06-09;0
VR17;Rotterdam-Rijnmond;2020-06-10;1
VR17;Rotterdam-Rijnmond;2020-06-11;0
VR17;Rotterdam-Rijnmond;2020-06-12;2
VR17;Rotterdam-Rijnmond;2020-06-13;0
VR17;Rotterdam-Rijnmond;2020-06-14;0
VR17;Rotterdam-Rijnmond;2020-06-15;0
VR17;Rotterdam-Rijnmond;2020-06-16;0
VR17;Rotterdam-Rijnmond;2020-06-17;0
VR17;Rotterdam-Rijnmond;2020-06-18;1
VR17;Rotterdam-Rijnmond;2020-06-19;0
VR17;Rotterdam-Rijnmond;2020-06-20;0
VR17;Rotterdam-Rijnmond;2020-06-21;0
VR17;Rotterdam-Rijnmond;2020-06-22;0
VR17;Rotterdam-Rijnmond;2020-06-23;0
VR17;Rotterdam-Rijnmond;2020-06-24;0
VR17;Rotterdam-Rijnmond;2020-06-25;0
VR17;Rotterdam-Rijnmond;2020-06-26;0
VR17;Rotterdam-Rijnmond;2020-06-27;0
VR17;Rotterdam-Rijnmond;2020-06-28;1
VR17;Rotterdam-Rijnmond;2020-06-29;0
VR17;Rotterdam-Rijnmond;2020-06-30;1
VR17;Rotterdam-Rijnmond;2020-07-01;0
VR17;Rotterdam-Rijnmond;2020-07-02;0
VR17;Rotterdam-Rijnmond;2020-07-03;0
VR17;Rotterdam-Rijnmond;2020-07-04;0
VR17;Rotterdam-Rijnmond;2020-07-05;3
VR17;Rotterdam-Rijnmond;2020-07-06;0
VR17;Rotterdam-Rijnmond;2020-07-07;1
VR17;Rotterdam-Rijnmond;2020-07-08;0
VR17;Rotterdam-Rijnmond;2020-07-09;0
VR17;Rotterdam-Rijnmond;2020-07-10;0
VR17;Rotterdam-Rijnmond;2020-07-11;0
VR17;Rotterdam-Rijnmond;2020-07-12;0
VR17;Rotterdam-Rijnmond;2020-07-13;0
VR17;Rotterdam-Rijnmond;2020-07-14;0
VR17;Rotterdam-Rijnmond;2020-07-15;1
VR17;Rotterdam-Rijnmond;2020-07-16;0
VR17;Rotterdam-Rijnmond;2020-07-17;0
VR17;Rotterdam-Rijnmond;2020-07-18;0
VR17;Rotterdam-Rijnmond;2020-07-19;0
VR17;Rotterdam-Rijnmond;2020-07-20;0
VR17;Rotterdam-Rijnmond;2020-07-21;0
VR17;Rotterdam-Rijnmond;2020-07-22;0
VR17;Rotterdam-Rijnmond;2020-07-23;0
VR17;Rotterdam-Rijnmond;2020-07-24;0
VR17;Rotterdam-Rijnmond;2020-07-25;0
VR17;Rotterdam-Rijnmond;2020-07-26;0
VR17;Rotterdam-Rijnmond;2020-07-27;0
VR17;Rotterdam-Rijnmond;2020-07-28;1
VR17;Rotterdam-Rijnmond;2020-07-29;0
VR17;Rotterdam-Rijnmond;2020-07-30;0
VR17;Rotterdam-Rijnmond;2020-07-31;0
VR17;Rotterdam-Rijnmond;2020-08-01;0
VR17;Rotterdam-Rijnmond;2020-08-02;0
VR17;Rotterdam-Rijnmond;2020-08-03;0
VR17;Rotterdam-Rijnmond;2020-08-04;0
VR17;Rotterdam-Rijnmond;2020-08-05;0
VR17;Rotterdam-Rijnmond;2020-08-06;0
VR17;Rotterdam-Rijnmond;2020-08-07;0
VR17;Rotterdam-Rijnmond;2020-08-08;0
VR17;Rotterdam-Rijnmond;2020-08-09;1
VR17;Rotterdam-Rijnmond;2020-08-10;0
VR17;Rotterdam-Rijnmond;2020-08-11;0
VR17;Rotterdam-Rijnmond;2020-08-12;1
VR17;Rotterdam-Rijnmond;2020-08-13;0
VR17;Rotterdam-Rijnmond;2020-08-14;0
VR17;Rotterdam-Rijnmond;2020-08-15;0
VR17;Rotterdam-Rijnmond;2020-08-16;0
VR17;Rotterdam-Rijnmond;2020-08-17;0
VR17;Rotterdam-Rijnmond;2020-08-18;1
VR17;Rotterdam-Rijnmond;2020-08-19;0
VR17;Rotterdam-Rijnmond;2020-08-20;2
VR17;Rotterdam-Rijnmond;2020-08-21;0
VR17;Rotterdam-Rijnmond;2020-08-22;0
VR17;Rotterdam-Rijnmond;2020-08-23;1
VR17;Rotterdam-Rijnmond;2020-08-24;1
VR17;Rotterdam-Rijnmond;2020-08-25;0
VR17;Rotterdam-Rijnmond;2020-08-26;0
VR17;Rotterdam-Rijnmond;2020-08-27;0
VR17;Rotterdam-Rijnmond;2020-08-28;1
VR17;Rotterdam-Rijnmond;2020-08-29;0
VR17;Rotterdam-Rijnmond;2020-08-30;1
VR17;Rotterdam-Rijnmond;2020-08-31;0
VR17;Rotterdam-Rijnmond;2020-09-01;2
VR17;Rotterdam-Rijnmond;2020-09-02;0
VR17;Rotterdam-Rijnmond;2020-09-03;0
VR17;Rotterdam-Rijnmond;2020-09-04;2
VR17;Rotterdam-Rijnmond;2020-09-05;0
VR17;Rotterdam-Rijnmond;2020-09-06;0
VR17;Rotterdam-Rijnmond;2020-09-07;0
VR17;Rotterdam-Rijnmond;2020-09-08;0
VR17;Rotterdam-Rijnmond;2020-09-09;0
VR17;Rotterdam-Rijnmond;2020-09-10;0
VR17;Rotterdam-Rijnmond;2020-09-11;1
VR17;Rotterdam-Rijnmond;2020-09-12;0
VR17;Rotterdam-Rijnmond;2020-09-13;0
VR17;Rotterdam-Rijnmond;2020-09-14;0
VR17;Rotterdam-Rijnmond;2020-09-15;0
VR17;Rotterdam-Rijnmond;2020-09-16;0
VR17;Rotterdam-Rijnmond;2020-09-17;0
VR17;Rotterdam-Rijnmond;2020-09-18;2
VR17;Rotterdam-Rijnmond;2020-09-19;0
VR17;Rotterdam-Rijnmond;2020-09-20;0
VR17;Rotterdam-Rijnmond;2020-09-21;4
VR17;Rotterdam-Rijnmond;2020-09-22;2
VR17;Rotterdam-Rijnmond;2020-09-23;0
VR17;Rotterdam-Rijnmond;2020-09-24;1
VR17;Rotterdam-Rijnmond;2020-09-25;0
VR17;Rotterdam-Rijnmond;2020-09-26;0
VR17;Rotterdam-Rijnmond;2020-09-27;0
VR17;Rotterdam-Rijnmond;2020-09-28;0
VR17;Rotterdam-Rijnmond;2020-09-29;0
VR17;Rotterdam-Rijnmond;2020-09-30;0
VR17;Rotterdam-Rijnmond;2020-10-01;0
VR17;Rotterdam-Rijnmond;2020-10-02;2
VR17;Rotterdam-Rijnmond;2020-10-03;0
VR17;Rotterdam-Rijnmond;2020-10-04;1
VR17;Rotterdam-Rijnmond;2020-10-05;0
VR17;Rotterdam-Rijnmond;2020-10-06;0
VR17;Rotterdam-Rijnmond;2020-10-07;0
VR17;Rotterdam-Rijnmond;2020-10-08;0
VR17;Rotterdam-Rijnmond;2020-10-09;0
VR17;Rotterdam-Rijnmond;2020-10-10;0
VR17;Rotterdam-Rijnmond;2020-10-11;0
VR17;Rotterdam-Rijnmond;2020-10-12;1
VR17;Rotterdam-Rijnmond;2020-10-13;0
VR17;Rotterdam-Rijnmond;2020-10-14;0
VR18;Zuid-Holland-Zuid;1900-01-01;0
VR18;Zuid-Holland-Zuid;2020-02-27;0
VR18;Zuid-Holland-Zuid;2020-02-28;0
VR18;Zuid-Holland-Zuid;2020-02-29;0
VR18;Zuid-Holland-Zuid;2020-03-01;0
VR18;Zuid-Holland-Zuid;2020-03-02;0
VR18;Zuid-Holland-Zuid;2020-03-03;0
VR18;Zuid-Holland-Zuid;2020-03-04;0
VR18;Zuid-Holland-Zuid;2020-03-05;0
VR18;Zuid-Holland-Zuid;2020-03-06;0
VR18;Zuid-Holland-Zuid;2020-03-07;0
VR18;Zuid-Holland-Zuid;2020-03-08;0
VR18;Zuid-Holland-Zuid;2020-03-09;0
VR18;Zuid-Holland-Zuid;2020-03-10;0
VR18;Zuid-Holland-Zuid;2020-03-11;0
VR18;Zuid-Holland-Zuid;2020-03-12;0
VR18;Zuid-Holland-Zuid;2020-03-13;0
VR18;Zuid-Holland-Zuid;2020-03-14;0
VR18;Zuid-Holland-Zuid;2020-03-15;0
VR18;Zuid-Holland-Zuid;2020-03-16;0
VR18;Zuid-Holland-Zuid;2020-03-17;0
VR18;Zuid-Holland-Zuid;2020-03-18;0
VR18;Zuid-Holland-Zuid;2020-03-19;0
VR18;Zuid-Holland-Zuid;2020-03-20;0
VR18;Zuid-Holland-Zuid;2020-03-21;0
VR18;Zuid-Holland-Zuid;2020-03-22;0
VR18;Zuid-Holland-Zuid;2020-03-23;0
VR18;Zuid-Holland-Zuid;2020-03-24;0
VR18;Zuid-Holland-Zuid;2020-03-25;1
VR18;Zuid-Holland-Zuid;2020-03-26;0
VR18;Zuid-Holland-Zuid;2020-03-27;1
VR18;Zuid-Holland-Zuid;2020-03-28;0
VR18;Zuid-Holland-Zuid;2020-03-29;0
VR18;Zuid-Holland-Zuid;2020-03-30;1
VR18;Zuid-Holland-Zuid;2020-03-31;1
VR18;Zuid-Holland-Zuid;2020-04-01;1
VR18;Zuid-Holland-Zuid;2020-04-02;1
VR18;Zuid-Holland-Zuid;2020-04-03;1
VR18;Zuid-Holland-Zuid;2020-04-04;2
VR18;Zuid-Holland-Zuid;2020-04-05;1
VR18;Zuid-Holland-Zuid;2020-04-06;0
VR18;Zuid-Holland-Zuid;2020-04-07;0
VR18;Zuid-Holland-Zuid;2020-04-08;1
VR18;Zuid-Holland-Zuid;2020-04-09;3
VR18;Zuid-Holland-Zuid;2020-04-10;4
VR18;Zuid-Holland-Zuid;2020-04-11;2
VR18;Zuid-Holland-Zuid;2020-04-12;3
VR18;Zuid-Holland-Zuid;2020-04-13;0
VR18;Zuid-Holland-Zuid;2020-04-14;1
VR18;Zuid-Holland-Zuid;2020-04-15;2
VR18;Zuid-Holland-Zuid;2020-04-16;2
VR18;Zuid-Holland-Zuid;2020-04-17;2
VR18;Zuid-Holland-Zuid;2020-04-18;2
VR18;Zuid-Holland-Zuid;2020-04-19;0
VR18;Zuid-Holland-Zuid;2020-04-20;0
VR18;Zuid-Holland-Zuid;2020-04-21;1
VR18;Zuid-Holland-Zuid;2020-04-22;2
VR18;Zuid-Holland-Zuid;2020-04-23;3
VR18;Zuid-Holland-Zuid;2020-04-24;1
VR18;Zuid-Holland-Zuid;2020-04-25;1
VR18;Zuid-Holland-Zuid;2020-04-26;1
VR18;Zuid-Holland-Zuid;2020-04-27;3
VR18;Zuid-Holland-Zuid;2020-04-28;0
VR18;Zuid-Holland-Zuid;2020-04-29;4
VR18;Zuid-Holland-Zuid;2020-04-30;0
VR18;Zuid-Holland-Zuid;2020-05-01;0
VR18;Zuid-Holland-Zuid;2020-05-02;2
VR18;Zuid-Holland-Zuid;2020-05-03;2
VR18;Zuid-Holland-Zuid;2020-05-04;0
VR18;Zuid-Holland-Zuid;2020-05-05;0
VR18;Zuid-Holland-Zuid;2020-05-06;0
VR18;Zuid-Holland-Zuid;2020-05-07;0
VR18;Zuid-Holland-Zuid;2020-05-08;0
VR18;Zuid-Holland-Zuid;2020-05-09;1
VR18;Zuid-Holland-Zuid;2020-05-10;2
VR18;Zuid-Holland-Zuid;2020-05-11;0
VR18;Zuid-Holland-Zuid;2020-05-12;2
VR18;Zuid-Holland-Zuid;2020-05-13;0
VR18;Zuid-Holland-Zuid;2020-05-14;1
VR18;Zuid-Holland-Zuid;2020-05-15;1
VR18;Zuid-Holland-Zuid;2020-05-16;2
VR18;Zuid-Holland-Zuid;2020-05-17;0
VR18;Zuid-Holland-Zuid;2020-05-18;1
VR18;Zuid-Holland-Zuid;2020-05-19;2
VR18;Zuid-Holland-Zuid;2020-05-20;3
VR18;Zuid-Holland-Zuid;2020-05-21;0
VR18;Zuid-Holland-Zuid;2020-05-22;3
VR18;Zuid-Holland-Zuid;2020-05-23;1
VR18;Zuid-Holland-Zuid;2020-05-24;4
VR18;Zuid-Holland-Zuid;2020-05-25;2
VR18;Zuid-Holland-Zuid;2020-05-26;3
VR18;Zuid-Holland-Zuid;2020-05-27;1
VR18;Zuid-Holland-Zuid;2020-05-28;0
VR18;Zuid-Holland-Zuid;2020-05-29;0
VR18;Zuid-Holland-Zuid;2020-05-30;0
VR18;Zuid-Holland-Zuid;2020-05-31;1
VR18;Zuid-Holland-Zuid;2020-06-01;0
VR18;Zuid-Holland-Zuid;2020-06-02;0
VR18;Zuid-Holland-Zuid;2020-06-03;2
VR18;Zuid-Holland-Zuid;2020-06-04;1
VR18;Zuid-Holland-Zuid;2020-06-05;1
VR18;Zuid-Holland-Zuid;2020-06-06;0
VR18;Zuid-Holland-Zuid;2020-06-07;2
VR18;Zuid-Holland-Zuid;2020-06-08;0
VR18;Zuid-Holland-Zuid;2020-06-09;1
VR18;Zuid-Holland-Zuid;2020-06-10;0
VR18;Zuid-Holland-Zuid;2020-06-11;0
VR18;Zuid-Holland-Zuid;2020-06-12;0
VR18;Zuid-Holland-Zuid;2020-06-13;0
VR18;Zuid-Holland-Zuid;2020-06-14;0
VR18;Zuid-Holland-Zuid;2020-06-15;1
VR18;Zuid-Holland-Zuid;2020-06-16;0
VR18;Zuid-Holland-Zuid;2020-06-17;0
VR18;Zuid-Holland-Zuid;2020-06-18;1
VR18;Zuid-Holland-Zuid;2020-06-19;0
VR18;Zuid-Holland-Zuid;2020-06-20;0
VR18;Zuid-Holland-Zuid;2020-06-21;0
VR18;Zuid-Holland-Zuid;2020-06-22;0
VR18;Zuid-Holland-Zuid;2020-06-23;0
VR18;Zuid-Holland-Zuid;2020-06-24;0
VR18;Zuid-Holland-Zuid;2020-06-25;0
VR18;Zuid-Holland-Zuid;2020-06-26;0
VR18;Zuid-Holland-Zuid;2020-06-27;0
VR18;Zuid-Holland-Zuid;2020-06-28;0
VR18;Zuid-Holland-Zuid;2020-06-29;0
VR18;Zuid-Holland-Zuid;2020-06-30;0
VR18;Zuid-Holland-Zuid;2020-07-01;0
VR18;Zuid-Holland-Zuid;2020-07-02;0
VR18;Zuid-Holland-Zuid;2020-07-03;0
VR18;Zuid-Holland-Zuid;2020-07-04;0
VR18;Zuid-Holland-Zuid;2020-07-05;0
VR18;Zuid-Holland-Zuid;2020-07-06;0
VR18;Zuid-Holland-Zuid;2020-07-07;0
VR18;Zuid-Holland-Zuid;2020-07-08;0
VR18;Zuid-Holland-Zuid;2020-07-09;0
VR18;Zuid-Holland-Zuid;2020-07-10;0
VR18;Zuid-Holland-Zuid;2020-07-11;0
VR18;Zuid-Holland-Zuid;2020-07-12;0
VR18;Zuid-Holland-Zuid;2020-07-13;0
VR18;Zuid-Holland-Zuid;2020-07-14;0
VR18;Zuid-Holland-Zuid;2020-07-15;0
VR18;Zuid-Holland-Zuid;2020-07-16;0
VR18;Zuid-Holland-Zuid;2020-07-17;0
VR18;Zuid-Holland-Zuid;2020-07-18;0
VR18;Zuid-Holland-Zuid;2020-07-19;0
VR18;Zuid-Holland-Zuid;2020-07-20;0
VR18;Zuid-Holland-Zuid;2020-07-21;0
VR18;Zuid-Holland-Zuid;2020-07-22;0
VR18;Zuid-Holland-Zuid;2020-07-23;0
VR18;Zuid-Holland-Zuid;2020-07-24;0
VR18;Zuid-Holland-Zuid;2020-07-25;0
VR18;Zuid-Holland-Zuid;2020-07-26;0
VR18;Zuid-Holland-Zuid;2020-07-27;0
VR18;Zuid-Holland-Zuid;2020-07-28;0
